,tokens
1306,"['enjoy', 'jamster', 'videosound', 'gold', 'club', 'credit', 'new', 'get', 'fun', 'help', 'call']"
1307,"['get', 'lion', 'england', 'tone', 'repli', 'lionm', 'mono', 'lionp', 'poli', 'go', 'origin', 'n', 'best', 'tone', 'network', 'oper', 'rate', 'appli']"
1308,"['jokin', 'oni', 'lar', 'busi', 'wun', 'disturb']"
1309,"['ok', 'care', 'text', 'drive']"
1310,"['alway', 'even', 'spirit', 'get', 'bb', 'soon', 'tri', 'sure', 'need']"
1311,"['u', 'r', 'much', 'close', 'heart', 'u', 'go', 'away', 'shatter', 'plz', 'stay']"
1312,"['love', 'u', 'babe', 'r', 'u', 'sure', 'everyth', 'alrit', 'idiot', 'txt', 'bak', 'girli']"
1313,"['abt', 'make', 'pic', 'bigger']"
1314,"['got', 'got', 'colour', 'lor', 'one', 'colour', 'quit', 'light', 'n', 'e', 'darker', 'lor', 'actual', 'done', 'style', 'hair']"
1315,"['whenevr', 'ur', 'sad', 'whenevr', 'ur', 'gray', 'remembr', 'im', 'listn', 'watevr', 'u', 'wan', 'na', 'say', 'ju', 'walk', 'wid', 'littl', 'amp', 'promis', 'bring', 'back', 'ur', 'smile']"
1316,"['noth', 'ok', 'anyway', 'give', 'treat']"
1317,"['win', 'newest', 'potter', 'order', 'phoenix', 'book', 'repli', 'harri', 'answer', 'question', 'chanc', 'first', 'among', 'reader']"
1318,['ok']
1319,"['correct', 'work', 'today']"
1320,"['sent', 'scream', 'moan', 'bed', 'princess']"
1321,"['wake', 'long', 'ago', 'alreadi', 'dunno', 'thing']"
1322,"['oh', 'get', 'even', 'u', 'u']"
1323,"['thk', 'shd', 'ok', 'said', 'plu', 'minu', 'leav', 'line', 'paragraph']"
1324,"['call', 'plz', 'number', 'show', 'coveragd', 'area', 'urgnt', 'call', 'vasai', 'amp', 'reach', 'clock', 'call', 'plz']"
1325,"['yeah', 'jay', 'sort', 'fuck', 'retard']"
1326,"['sorri', 'bathroom', 'sup']"
1327,"['ur', 'balanc', 'ur', 'next', 'question', 'sang', 'girl', 'answer', 'txt', 'ur', 'answer', 'good', 'luck']"
1328,"['exam', 'februari', 'wish', 'great', 'day']"
1329,"['dont', 'know', 'come', 'ask', 'question', 'like', 'dont', 'mistak']"
1330,"['aight', 'rush', 'ask', 'jay']"
1331,"['good', 'morn', 'plz', 'call', 'sir']"
1332,"['ok', 'lar', 'u', 'sleep', 'earli', 'nite']"
1333,"['oh', 'icic', 'k', 'lor', 'den', 'meet', 'day']"
1334,"['oh', 'half', 'hour', 'much', 'longer', 'syria', 'canada', 'eh', 'wow', 'must', 'get', 'much', 'work', 'done', 'day', 'us', 'extra', 'time', 'grin']"
1335,"['sometim', 'put', 'wall', 'around', 'heart', 'safe', 'get', 'hurt', 'find', 'care', 'enough', 'break', 'wall', 'amp', 'get', 'closer', 'goodnoon']"
1336,"['sweet', 'may', 'may', 'go', 'meet', 'carlo', 'gaug', 'patti', 'interest']"
1337,"['buy', 'today', 'need', 'c', 'meh']"
1338,"['aight', 'sorri', 'take', 'ten', 'year', 'shower', 'plan']"
1339,"['everi', 'monday', 'nxt', 'week', 'vl', 'complet']"
1340,"['might', 'ax', 'well', 'im']"
1341,"['chill', 'anoth', 'could', 'sleep', 'pain', 'surgic', 'emerg', 'see', 'unfold', 'okay']"
1342,"['yeah', 'tri', 'scroung', 'someth']"
1343,"['crazi', 'ar', 'marri', 'like', 'gd', 'look', 'guy', 'fren', 'like', 'say', 'korean', 'leona', 'fave', 'dun', 'thk', 'aft', 'think', 'mayb', 'prob', 'go']"
1344,"['somewher', 'fredericksburg']"
1345,"['que', 'pase', 'un', 'buen', 'tiempo', 'someth', 'like']"
1346,"['ok', 'stay', 'night', 'xavier', 'sleep', 'bag', 'get', 'tire']"
1347,"['doesnt', 'need', 'test']"
1348,"['noth', 'much', 'chillin', 'home', 'super', 'bowl', 'plan']"
1349,"['sexi', 'st', 'georg', 'day', 'pic', 'jordan', 'txt', 'pic', 'dont', 'miss', 'everi', 'wk', 'sauci', 'celeb', 'pic', 'c']"
1350,"['bugi', 'oso', 'near', 'wat']"
1351,"['yo', 'there', 'class', 'tmrw', 'right']"
1352,"['let', 'ur', 'heart', 'ur', 'compass', 'ur', 'mind', 'ur', 'map', 'ur', 'soul', 'ur', 'guid', 'u', 'never', 'loos', 'world', 'gnun', 'sent', 'via']"
1353,"['goodnight', 'sleep', 'well', 'da', 'pleas', 'take', 'care', 'pleas']"
1354,"['baaaaab', 'misss', 'youuuuu', 'go', 'teach', 'class']"
1355,"['convey', 'regard']"
1356,"['u', 'ned', 'convinc', 'tht', 'possibl', 'witot', 'hurt', 'feel', 'main']"
1357,"['good', 'afternoon', 'loverboy', 'goe', 'day', 'luck', 'come', 'way', 'think', 'sweeti', 'send', 'love', 'across', 'sea', 'make', 'smile', 'happi']"
1358,"['start', 'send', 'blackberri', 'torch', 'nigeria', 'find', 'buyer', 'like', 'month', 'tell', 'dad', 'buy', 'bb', 'anyon', 'oh']"
1359,"['lt', 'gt', 'pple', 'marri', 'lover', 'becz', 'hav', 'gud', 'undrstndng', 'dat', 'avoid', 'problem', 'sent', 'di', 'u', 'u', 'wil', 'get', 'gud', 'news', 'friday', 'person', 'like', 'tomorrow', 'best', 'day', 'life', 'dont', 'break', 'chain', 'break', 'suffer', 'send', 'lt', 'gt', 'frnd', 'lt', 'gt', 'min', 'whn', 'u', 'read']"
1360,"['yo', 'dude', 'guess', 'got', 'arrest', 'day']"
1361,"['shuhui', 'say', 'chang', 'suntec', 'steamboat', 'u', 'noe', 'r', 'u']"
1362,"['danc', 'river']"
1363,"['yetund', 'sorri', 'moji', 'seem', 'busi', 'abl', 'go', 'shop', 'pleas', 'find', 'way', 'get', 'want', 'us', 'get', 'pleas', 'forgiv', 'repli', 'free', 'via', 'yahoo', 'messeng']"
1364,"['hey', 'realli', 'pretti', 'late', 'want', 'go', 'lesson', 'first', 'join', 'reach', 'tp', 'mrt']"
1365,"['hot', 'live', 'fantasi', 'call', 'per', 'min', 'ntt', 'ltd', 'po', 'box', 'croydon', 'k']"
1366,"['bbq', 'sat', 'mine', 'ur', 'welcom', 'come']"
1367,"['know', 'thing', 'wrong', 'everyso', 'often', 'panick', 'start', 'goin', 'bout', 'bein', 'good', 'enough']"
1368,"['alright', 'good', 'night']"
1369,"['tri', 'make', 'anoth', 'butt']"
1370,"['hope', 'feel', 'great', 'pl', 'fill', 'abiola']"
1371,"['though', 'shd', 'go', 'n', 'fun', 'bar', 'town', 'someth', 'sound', 'ok']"
1372,"['go', 'write', 'msg', 'put', 'dictionari', 'mode', 'cover', 'screen', 'hand', 'press', 'lt', 'gt', 'gentli', 'remov', 'ur', 'hand', 'interest']"
1373,"['bear', 'pic', 'nick', 'tom', 'pete', 'dick', 'fact', 'type', 'tri', 'gay', 'chat', 'photo', 'upload', 'call', 'stop', 'text', 'call']"
1374,"['new', 'mobil', 'must', 'go', 'txt', 'nokia', 'collect', 'today', 'txtauction']"
1375,"['final', 'readi', 'fyi']"
1376,"['aunti', 'huai', 'juan', 'never', 'pick', 'phone']"
1377,"['doubl', 'min', 'doubl', 'txt', 'price', 'linerent', 'latest', 'orang', 'bluetooth', 'mobil', 'call', 'latest', 'offer']"
1378,"['ya', 'tel', 'wat', 'ur', 'problem']"
1379,"['nokia', 'tone', 'ur', 'mob', 'everi', 'week', 'txt', 'nok', 'tone', 'free', 'get', 'txtin', 'tell', 'ur', 'friend', 'repli', 'hl']"
1380,"['dnt', 'wnt', 'tlk', 'wid', 'u']"
1381,"['spend', 'day', 'wait', 'ideal', 'path', 'appear', 'front', 'us', 'forget', 'made', 'walk', 'wait', 'goodnight']"
1382,"['ok', 'arm', 'feel', 'weak', 'cuz', 'got', 'shot', 'go', 'anoth', 'time']"
1383,"['pleas', 'reserv', 'ticket', 'saturday', 'eve', 'chennai', 'thirunelvali', 'tirunelvali', 'chennai', 'sunday', 'eve', 'alreadi', 'see', 'net', 'ticket', 'avail', 'want', 'book', 'ticket', 'tackl']"
1384,"['storm', 'msg', 'wen', 'u', 'lift', 'phne', 'u', 'say', 'u', 'knw', 'wt', 'real', 'mean', 'hello', 'name', 'girl', 'ye', 'u', 'knw', 'dat', 'girl', 'margaret', 'girlfrnd', 'f', 'grahmbel', 'invnt', 'telphon', 'moral', 'one', 'name', 'person']"
1385,"['pop', 'ask', 'bout', 'someth', 'said', 'around', 'tonght', 'wen', 'girl', 'come']"
1386,"['e', 'best', 'ur', 'exam', 'later']"
1387,"['hope', 'ur', 'head', 'hurt', 'much', 'plough', 'way', 'pile', 'iron', 'stay', 'chinki', 'tonight', 'come', 'round', 'like']"
1388,"['oh', 'think', 'wi', 'nz', 'player', 'unsold']"
1389,"['haha', 'got', 'fast', 'lose', 'weight', 'thk', 'muz', 'go', 'month', 'den', 'got', 'effect', 'gee', 'later', 'go', 'aust', 'put', 'bk', 'e', 'weight']"
1390,"['wonder', 'got', 'onlin', 'love', 'gone', 'net', 'cafe', 'get', 'phone', 'recharg', 'friend', 'net', 'think', 'boytoy']"
1391,"['haha', 'kid', 'papa', 'need', 'drug']"
1392,"['thk', 'shld', 'b', 'ya', 'wana', 'go', 'lesson', 'haha', 'go', 'one', 'whole', 'stretch']"
1393,"['oh', 'ok']"
1394,"['r', 'still', 'meet', 'dinner', 'tonight']"
1395,"['that', 'cool', 'gentleman', 'treat', 'digniti', 'respect']"
1396,"['shall', 'start', 'hear']"
1397,"['wait', 'u', 'lor', 'need', 'feel', 'bad', 'lar']"
1398,"['check', 'got', 'detail', 'messag']"
1399,"['regist', 'sinco', 'paye', 'log', 'enter', 'urn', 'lt', 'gt', 'confirm', 'bewar', 'fraud', 'share', 'disclos', 'urn', 'anyon']"
1400,"['decid', 'peopl', 'care', 'stuff', 'vote', 'care', 'stuff', 'loser']"
1401,"['kaiez', 'enjoy', 'ur', 'tuition', 'gee', 'thk', 'e', 'second', 'option', 'sound', 'beta', 'go', 'yan', 'jiu', 'den', 'msg', 'u']"
1402,"['regist', 'sinco', 'paye', 'log', 'enter', 'urn', 'lt', 'gt', 'confirm', 'bewar', 'fraud', 'share', 'disclos', 'urn', 'anyon']"
1403,"['cool', 'fun', 'practic', 'make', 'babi']"
1404,"['actual', 'get', 'readi', 'leav', 'hous']"
1405,"['k', 'k', 'special', 'today']"
1406,"['urgent', 'import', 'inform', 'user', 'today', 'lucki', 'day', 'find', 'log', 'onto', 'http', 'fantast', 'surpris', 'await']"
1407,"['got', 'ta']"
1408,"['got', 'ten', 'buck', 'jay', 'noncomitt']"
1409,['hungri']
1410,"['pl', 'speak', 'custom', 'machan']"
1411,"['somewher', 'beneath', 'pale', 'moon', 'light', 'someon', 'think', 'u', 'dream', 'come', 'true', 'goodnit', 'amp', 'sweet', 'dream']"
1412,"['wen', 'ur', 'lovabl', 'bcum', 'angri', 'wid', 'u', 'dnt', 'take', 'serious', 'coz', 'angri', 'childish', 'n', 'true', 'way', 'show', 'deep', 'affect', 'care', 'n', 'luv', 'kettoda', 'manda', 'nice', 'day', 'da']"
1413,"['dear', 'u', 'invit', 'xchat', 'final', 'attempt', 'contact', 'u', 'txt', 'chat', 'ldn', 'yr']"
1414,"['wat', 'ur', 'opinion', 'abt', 'abt', 'charact']"
1415,"['jay', 'snicker', 'tell', 'x', 'total', 'fuck', 'chord', 'speak']"
1416,"['hour', 'hair', 'cut']"
1417,"['wonder', 'co', 'dun', 'rem', 'see', 'silver', 'car', 'thk', 'saw', 'black', 'one']"
1418,"['lmao', 'take', 'pic', 'send']"
1419,"['feel', 'word', 'better', 'silenc', 'gud', 'mrng']"
1420,"['current', 'scotland']"
1421,"['work', 'week']"
1422,"['congratul', 'ur', 'award', 'either', 'cd', 'gift', 'voucher', 'free', 'entri', 'weekli', 'draw', 'txt', 'music', 'tnc']"
1423,"['lol', 'great', 'im', 'get', 'hungri']"
1424,"['ye', 'saw', 'messag']"
1425,"['mu', 'like', 'lt', 'gt', 'second']"
1426,['ok']
1427,"['thing', 'r', 'good', 'thanx', 'got', 'exam', 'march', 'ive', 'done', 'revis', 'fran', 'still', 'boyf', 'ive', 'got', 'ta', 'interviw', 'exet', 'bit', 'worri', 'x']"
1428,"['tell', 'make', 'littl', 'spreadsheet', 'track', 'whose', 'idea', 'smoke', 'determin', 'entir', 'month', 'februari']"
1429,"['sale', 'arsen', 'dartboard', 'good', 'condit', 'doubl', 'trebl']"
1430,"['look', 'back', 'build', 'coat', 'want', 'get', 'sick', 'hurri', 'home', 'wear', 'coat', 'gym']"
1431,"['pain', 'person', 'alway', 'tri', 'keep', 'everybodi', 'happi', 'time', 'nobodi', 'recognis']"
1432,"['thank', 'love', 'wish', 'rock']"
1433,"['intrepid', 'duo', 'great', 'time', 'see', 'soon']"
1434,"['ask', 'sen', 'come', 'chennai', 'search', 'job']"
1435,"['dad', 'went', 'oredi']"
1436,"['ju', 'hope', 'true', 'missin', 'co', 'realli', 'missin', 'done', 'anyth', 'feel', 'guilti', 'yet']"
1437,"['wat', 'late', 'still', 'earli', 'mah', 'juz', 'go', 'dinner', 'lor', 'aiya', 'dunno']"
1438,"['arm', 'fine', 'cardiff', 'uni']"
1439,"['fact', 'leav', 'think', 'addi', 'goe', 'back', 'school', 'tue', 'wed']"
1440,"['cool', 'breez', 'bright', 'sun', 'fresh', 'flower', 'twitter', 'bird', 'wait', 'wish', 'u', 'amp', 'nice']"
1441,"['ya', 'go', 'restaur']"
1442,"['askd', 'u', 'knw', 'tht']"
1443,"['free', 'week', 'entri', 'textpod', 'chanc', 'win', 'ipod', 'cash', 'everi', 'wk', 'txt', 'pod', 'ts', 'cs', 'custcar']"
1444,"['duck', 'chinchilla']"
1445,"['marriag', 'function']"
1446,"['look', 'like', 'u', 'wil', 'b', 'get', 'headstart', 'im', 'leav', 'bout', 'u', 'r', 'desper', 'compani', 'could', 'head', 'goin', 'meet', 'rummer']"
1447,"['give', 'fli', 'monkey', 'wot', 'think', 'certainli', 'mind', 'friend', 'mine']"
1448,"['regist', 'optin', 'subscrib', 'ur', 'draw', 'gift', 'voucher', 'enter', 'receipt', 'correct', 'an', 'what', 'bbc', 'chart']"
1449,['say']
1450,"['msg', 'rajini', 'come']"
1451,"['ya', 'take', 'ure', 'practic', 'lesson', 'start', 'june']"
1452,"['good', 'need', 'drug']"
1453,['possibl']
1454,"['decid', 'faster', 'co', 'si', 'go', 'home', 'liao']"
1455,"['summer', 'final', 'fanci', 'chat', 'flirt', 'sexi', 'singl', 'yr', 'area', 'get', 'match', 'repli', 'summer', 'free', 'join', 'optout', 'txt', 'stop']"
1456,"['u', 'sleep', 'go', 'take', 'haha', 'got', 'spi', 'wat', 'onlin', 'check', 'n', 'repli', 'mail', 'lor']"
1457,"['clair', 'havin', 'borin', 'time', 'alon', 'u', 'wan', 'na', 'cum', 'chat', 'hope', 'c', 'u', 'luv', 'clair', 'xx']"
1458,"['fight', 'world', 'easi', 'u', 'either', 'win', 'lose', 'bt', 'fightng', 'close', 'u', 'dificult', 'u', 'lose', 'u', 'lose', 'u', 'win', 'u', 'still', 'lose']"
1459,"['bought', 'one', 'rington', 'get', 'text', 'cost', 'pound', 'offer', 'tone', 'etc']"
1460,"['yalru', 'lyfu', 'astn', 'chikku', 'bt', 'innu', 'mundh', 'lyf', 'ali', 'halla', 'ke', 'bilo', 'marriag', 'program', 'edha', 'lyf', 'nt', 'yet', 'ovr', 'chikku', 'ali', 'vargu', 'lyfu', 'meow', 'meow']"
1461,"['kinda', 'first', 'one', 'get', 'twelv', 'aah', 'speak', 'tomo']"
1462,"['urgent', 'mobil', 'bonu', 'caller', 'prize', 'attempt', 'reach', 'call', 'asap']"
1463,"['ok', 'good', 'later', 'come', 'find', 'c', 'lucki', 'told', 'go', 'earlier', 'later', 'pple', 'take', 'finish']"
1464,"['wat', 'make', 'u', 'thk', 'fall', 'actual', 'thk', 'quit', 'prone', 'fall', 'lucki', 'dad', 'home', 'ask', 'come', 'n', 'fetch', 'alreadi']"
1465,"['guarante', 'latest', 'nokia', 'phone', 'ipod', 'player', 'prize', 'txt', 'word', 'collect']"
1466,"['account', 'refil', 'success', 'inr', 'lt', 'decim', 'gt', 'keralacircl', 'prepaid', 'account', 'balanc', 'rs', 'lt', 'decim', 'gt', 'transact', 'id', 'kr', 'lt', 'gt']"
1467,"['wont', 'touch', 'permiss']"
1468,"['hi', 'luci', 'hubbi', 'meetin', 'day', 'fri', 'b', 'alon', 'hotel', 'u', 'fanci', 'cumin', 'pl', 'leav', 'msg', 'luci', 'x']"
1469,"['wonder', 'world', 'ur', 'style', 'ur', 'smile', 'ur', 'person', 'ur', 'natur', 'ur', 'sm', 'love', 'good', 'morn', 'dear']"
1470,"['take', 'small', 'dose', 'tablet', 'fever']"
1471,"['oh', 'u', 'must', 'taken', 'real', 'valentin', 'shop', 'first']"
1472,"['sent', 'email', 'address', 'incomm', 'right']"
1473,"['gon', 'na', 'blake', 'night', 'might', 'abl', 'get', 'littl', 'earli']"
1474,"['friendship', 'game', 'play', 'word', 'say', 'start', 'march', 'end', 'may', 'tomorrow', 'yesterday', 'today', 'e']"
1475,"['nice', 'wait', 'text', 'right', 'gon', 'na', 'pay', 'ticket', 'ya', 'know']"
1476,"['watch', 'lotr', 'w', 'si', 'di', 'aft', 'u', 'wan', 'meet', 'dinner', 'nite']"
1477,"['keep', 'away', 'like']"
1478,"['think', 'far', 'find', 'check', 'googl', 'map', 'place', 'dorm']"
1479,"['trip', 'ok', 'quit', 'tire', 'lor', 'uni', 'start', 'today', 'ok', 'co', 'take', 'modul', 'ju', 'concentr', 'final', 'yr', 'project']"
1480,"['alway', 'say', 'welp']"
1481,"['guy', 'browsin', 'compulsori']"
1482,['ok']
1483,"['puriti', 'friendship', 'two', 'smile', 'read', 'forward', 'messag', 'smile', 'see', 'name', 'gud', 'evng', 'musthu']"
1484,"['sorri', 'call', 'later']"
1485,"['add', 'realli', 'care', 'ca', 'least', 'get', 'dude', 'fuck', 'hey', 'money', 'want']"
1486,"['hello', 'lover', 'goe', 'new', 'job', 'happi', 'think', 'wake', 'slave', 'send', 'teas', 'kiss', 'across', 'sea']"
1487,"['told', 'number', 'gautham']"
1488,"['tell', 'need', 'investig', 'anywher']"
1489,"['ok', 'juz', 'receiv']"
1490,"['cant', 'believ', 'said', 'mani', 'thing', 'morn', 'realli', 'want', 'say', 'good', 'morn', 'love', 'beauti', 'morn', 'see', 'librari', 'later']"
1491,"['account', 'credit', 'free', 'text', 'messag', 'activ', 'txt', 'word', 'credit', 'cs']"
1492,"['end', 'might', 'still', 'vomit', 'okay', 'everyth', 'come']"
1493,"['money', 'money', 'aint', 'thing', 'sha']"
1494,"['everyth', 'weather', 'keep', 'extra', 'warm', 'cold', 'noth', 'seriou', 'pl', 'lot', 'vitamin', 'c']"
1495,"['hey', 'gal', 'anyon', 'u', 'go', 'e', 'drive', 'centr', 'tmr']"
1496,"['alway', 'yahoo', 'messeng', 'send', 'messag', 'get', 'may', 'send', 'mobil', 'mode', 'sha', 'get', 'repli']"
1497,"['put', 'readi', 'lt', 'time', 'gt']"
1498,"['time', 'n', 'smile', 'r', 'two', 'crucial', 'thing', 'life', 'sometim', 'time', 'make', 'us', 'forget', 'smile', 'sometim', 'someon', 'smile', 'make', 'us', 'forget', 'time', 'gud', 'noon']"
1499,"['sm', 'ac', 'jsco', 'energi', 'high', 'u', 'may', 'know', 'ur', 'leadership', 'skill', 'r', 'strong', 'psychic', 'repli', 'an', 'end', 'repli', 'end', 'jsco']"
1500,"['idp', 'linux', 'system']"
1501,"['hot', 'live', 'fantasi', 'call', 'per', 'min', 'ntt', 'ltd', 'po', 'box', 'croydon', 'nation', 'rate', 'call']"
1502,"['da', 'what', 'plan']"
1503,"['ill', 'lt', 'gt', 'ok']"
1504,"['oh', 'god', 'almost', 'home']"
1505,"['total', 'video', 'convert', 'free', 'download', 'type', 'googl', 'search']"
1506,"['thank', 'vote', 'sing', 'along', 'star', 'karaok', 'mobil', 'free', 'link', 'repli', 'sing']"
1507,"['wen', 'ur', 'lovabl', 'bcum', 'angri', 'wid', 'u', 'dnt', 'take', 'serious', 'coz', 'angri', 'childish', 'n', 'true', 'way', 'show', 'deep', 'affect', 'care', 'n', 'luv', 'kettoda', 'manda', 'nice', 'day', 'da']"
1508,"['sound', 'like', 'someth', 'someon', 'test', 'would', 'sayi']"
1509,"['u', 'love', 'someon', 'dont', 'make', 'love', 'u', 'much', 'u', 'love', 'much', 'dont', 'want', 'love', 'anyon', 'except', 'gud', 'nit']"
1510,"['pete', 'phone', 'still', 'jenni', 'colleg']"
1511,"['oop', 'sorri', 'check', 'mind', 'pick', 'tomo', 'half', 'eight', 'station', 'would', 'ok']"
1512,"['hey', 'sweet', 'wonder', 'moment', 'might', 'come', 'want', 'send', 'file', 'someon', 'wo', 'go', 'yahoo', 'connect', 'suck', 'rememb', 'set', 'page', 'go', 'download', 'format', 'disc', 'could', 'tell', 'know', 'way', 'download', 'big', 'file', 'download', 'stuff', 'directli', 'internet', 'help', 'would', 'great', 'prey', 'teas', 'kiss']"
1513,"['how', 'champ', 'leav', 'glasgow']"
1514,"['k', 'best', 'congrat']"
1515,"['wonder', 'get', 'text']"
1516,"['need', 'come', 'home', 'give', 'good', 'lovin']"
1517,"['brand', 'new', 'mobil', 'music', 'servic', 'live', 'free', 'music', 'player', 'arriv', 'shortli', 'instal', 'phone', 'brows', 'content', 'top', 'artist']"
1518,"['shall', 'ask', 'one', 'thing', 'dont', 'mistak']"
1519,"['check', 'wid', 'corect', 'spele', 'sarcasm']"
1520,"['urgent', 'mobil', 'award', 'bonu', 'caller', 'prize', 'attempt', 'contact', 'call', 'bt', 'nation', 'rate']"
1521,"['angri', 'happen', 'dear']"
1522,"['thk', 'u', 'dun', 'haf', 'hint', 'e', 'forum', 'alreadi', 'lor', 'co', 'told', 'ron', 'n', 'darren', 'go', 'tell', 'shuhui']"
1523,"['yup', 'ok', 'thanx']"
1524,"['hi', 'ct', 'employe']"
1525,"['pl', 'pl', 'find', 'aunt', 'nike']"
1526,"['wow', 'love', 'sooo', 'much', 'know', 'bare', 'stand', 'wonder', 'day', 'goe', 'well', 'love', 'think', 'miss']"
1527,"['scream', 'mean', 'shout']"
1528,"['hey', 'happen', 'de', 'alright']"
1529,"['pick', 'receipt', 'someth', 'earlier']"
1530,"['think', 'chennai', 'well', 'settl']"
1531,"['oh', 'dang', 'mean', 'send', 'lol']"
1532,"['unfortun', 'found', 'pick', 'sister', 'airport', 'even', 'think', 'go', 'tri', 'go', 'one', 'th']"
1533,"['horribl', 'bf', 'v', 'hungri']"
1534,"['rememb', 'day']"
1535,"['nokia', 'get', 'win', 'free', 'auction', 'take', 'part', 'send', 'nokia']"
1536,"['feel', 'real', 'valentin', 'yo', 'valentin', 'even', 'tho', 'u', 'hardli', 'play']"
1537,"['sound', 'good', 'finger', 'make', 'difficult', 'type']"
1538,"['midnight', 'earliest']"
1539,"['sure', 'tri', 'make', 'xavier', 'smoke', 'want', 'smoke', 'told', 'smoke', 'much']"
1540,"['k', 'come', 'nordstrom', 'done']"
1541,"['u', 'konw', 'waht', 'rael', 'friendship', 'im', 'gving', 'yuo', 'exmpel', 'jsut', 'ese', 'tih', 'msg', 'evrey', 'splle', 'tih', 'msg', 'wrnog', 'bt', 'sitll', 'yuo', 'ra', 'wihtuot', 'ayn', 'mitsak', 'goodnight', 'amp', 'nice', 'sleep', 'sweet', 'dream']"
1542,"['press', 'confer', 'da']"
1543,"['hello', 'orang', 'month', 'free', 'access', 'game', 'news', 'sport', 'plu', 'free', 'text', 'photo', 'messag', 'repli', 'ye', 'term', 'appli']"
1544,"['complet', 'degre', 'use', 'join', 'financ']"
1545,"['good', 'afternoon', 'love', 'job', 'prospect', 'miss', 'lazi', 'bleak', 'hmmm', 'happi', 'fill', 'love']"
1546,"['shant', 'disturb', 'u', 'anymor', 'jia']"
1547,"['bishan', 'lar', 'nearer', 'need', 'buy', 'earli', 'co', 'buy', 'got', 'ta', 'park', 'car']"
1548,"['dont', 'know', 'oh']"
1549,"['dude', 'sux', 'snake', 'got', 'old', 'raiden', 'got', 'buff']"
1550,"['say', 'hi', 'get', 'ass', 'back', 'south', 'tampa', 'prefer', 'kegger']"
1551,"['e', 'msg', 'ju', 'u', 'said', 'thank', 'gift']"
1552,['u']
1553,"['ok', 'dear', 'call', 'chechi']"
1554,"['yeah', 'tote', 'u', 'wan', 'na']"
1555,"['ok', 'found', 'di', 'pierr', 'cardin', 'one', 'look', 'normal', 'cost', 'sale']"
1556,"['good', 'sleep', 'rhythm', 'person', 'establish', 'rhythm', 'bodi', 'learn', 'use', 'want', 'know']"
1557,"['wat', 'r', 'u']"
1558,"['messag', 'truro', 'hospit', 'ext', 'phone', 'phone', 'side']"
1559,"['singl', 'line', 'big', 'mean', 'anyth', 'ur', 'best']"
1560,"['got', 'ga', 'money', 'chanc', 'gang', 'want', 'go', 'grand', 'natur', 'adventur']"
1561,"['dnt', 'worri', 'use', 'ice', 'piec', 'cloth', 'take', 'tablet']"
1562,"['dude', 'saw', 'park', 'car', 'sunroof', 'pop', 'sux']"
1563,"['get', 'readi', 'put', 'excel', 'sub', 'face']"
1564,"['tmrw', 'im', 'finish', 'door']"
1565,"['lt', 'gt', 'g', 'saw', 'day', 'ago', 'guy', 'want', 'sell', 'wifi', 'lt', 'gt', 'lt', 'gt', 'blank']"
1566,['late']
1567,"['whatev', 'im', 'pretti', 'piss']"
1568,"['today', 'accept', 'day', 'u', 'accept', 'brother', 'sister', 'lover', 'lvblefrnd', 'jstfrnd', 'cutefrnd', 'lifpartnr', 'belovd', 'swtheart', 'bstfrnd', 'rpli', 'mean', 'enemi']"
1569,"['dont', 'much', 'imag', 'class']"
1570,"['got', 'rumour', 'go', 'buy', 'apart', 'chennai']"
1571,"['near', 'kalainar', 'tv']"
1572,"['ur', 'current', 'pound', 'maxim', 'ur', 'send', 'go', 'cc']"
1573,"['sm', 'auction', 'brand', 'new', 'nokia', 'auction', 'today', 'auction', 'free', 'join', 'take', 'part', 'txt', 'nokia']"
1574,"['si', 'catch', 'e', 'show', 'e', 'afternoon', 'watch', 'w', 'c', 'u', 'wan', 'watch', 'today', 'tmr', 'lor']"
1575,"['sound', 'gd', 'haha', 'wah', 'u', 'yan', 'jiu', 'fast', 'liao']"
1576,"['nosi', 'guess', 'idk', 'react', 'freak']"
1577,"['rememb', 'hurt', 'day', 'satan', 'impost', 'pay', 'price', 'destini', 'keep', 'go', 'u', 'said', 'pray', 'get', 'mind', 'get']"
1578,"['make', 'girl', 'happi', 'difficult', 'make', 'girl', 'happi', 'u', 'need', 'friend', 'companion', 'lover', 'chef', 'lt', 'gt', 'good', 'listen', 'lt', 'gt', 'organ', 'lt', 'gt', 'good', 'boyfriend', 'lt', 'gt', 'clean', 'lt', 'gt', 'sympathet', 'lt', 'gt', 'athlet', 'lt', 'gt', 'warm', 'lt', 'gt', 'courag', 'lt', 'gt', 'determin', 'lt', 'gt', 'true', 'lt', 'gt', 'depend', 'lt', 'gt', 'intellig', 'lt', 'gt', 'psychologist', 'lt', 'gt', 'pest', 'extermin', 'lt', 'gt', 'psychiatrist', 'lt', 'gt', 'healer', 'lt', 'gt', 'stylist', 'lt', 'gt', 'driver', 'aaniy', 'pudunga', 'venaam']"
1579,"['princess', 'bet', 'brotha', 'chase']"
1580,"['shall', 'book', 'chez', 'jule', 'half', 'eight', 'ok']"
1581,"['hhahhaahahah', 'rofl', 'wtf', 'nig', 'leonardo', 'room', 'someth']"
1582,"['yep', 'derek', 'hous', 'see', 'sunday', 'lt']"
1583,"['cool', 'let', 'know', 'kick', 'around', 'lt', 'gt', 'day']"
1584,"['sorri', 'call', 'later']"
